Percent Change,Close,Date,Shift
0.008167187,41.970001,11-08-2016,+
0.009292328,41.580002,12-08-2016,-
0.011062986,42.040001,13-08-2016,+
0.004519481,42.23,14-08-2016,+
0.002604807,42.119999,15-08-2016,-
0.005460565,42.349998,18-08-2016,+
0.00330588,42.490002,19-08-2016,+
0.005648341,42.73,20-08-2016,+
0.000468055,42.75,21-08-2016,+
0.000467836,42.77,22-08-2016,+
0.01613278,43.459999,25-08-2016,+
0.003681546,43.619999,26-08-2016,+
0.002292572,43.720001,27-08-2016,+
0.00182978,43.799999,28-08-2016,+
0.007534201,43.470001,29-08-2016,-
0.001150196,43.52,02-09-2016,+
0.003216889,43.380001,03-09-2016,-
0.005993591,43.119999,04-09-2016,-
0,43.119999,05-09-2016,-
0.003710575,43.279999,08-09-2016,+
0.007624723,42.950001,09-09-2016,-
0.009313085,43.349998,10-09-2016,+
0.000461269,43.330002,11-09-2016,-
0.012231686,43.860001,12-09-2016,+
0.004559986,43.66,15-09-2016,-
0.007100344,43.970001,16-09-2016,+
0.002501706,43.860001,17-09-2016,-
0.003191974,43.720001,18-09-2016,-
0.004117132,43.900002,19-09-2016,+
0.014806423,43.25,22-09-2016,-
0.015722543,42.57,23-09-2016,-
0.005167982,42.790001,24-09-2016,+
0.01846228,42,25-09-2016,-
0.00928569,42.389999,26-09-2016,+
0.000943642,42.349998,29-09-2016,-
0.001652893,42.419998,30-09-2016,+
0.011079609,41.950001,01-10-2016,-
0.003337282,42.09,02-10-2016,+
0.015443146,42.740002,03-10-2016,+
0.012868577,42.189999,06-10-2016,-
0.022991183,41.220001,07-10-2016,-
0.022561887,42.150002,08-10-2016,+
0.014946666,41.52,09-10-2016,-
0.00385354,41.360001,10-10-2016,-
0.033365594,39.98,13-10-2016,-
0.005002526,39.779999,14-10-2016,-
0.000502765,39.799999,15-10-2016,+
0.001758769,39.73,16-10-2016,-
0.010823056,40.16,17-10-2016,+
0.014442281,40.740002,20-10-2016,+
0.011045581,41.189999,21-10-2016,+
0.006312188,40.93,22-10-2016,-
0.0090398,41.299999,23-10-2016,+
0.010169443,40.880001,24-10-2016,-
0.002690827,40.990002,27-10-2016,+
0.020248791,41.82,28-10-2016,+
0.014586322,42.43,29-10-2016,+
0.008013198,42.77,30-10-2016,+
0.011456582,43.259998,31-10-2016,+
0.006241355,43.529999,03-11-2016,+
0.003675626,43.689999,04-11-2016,+
0.001144495,43.740002,05-11-2016,+
0.003657979,43.900002,06-11-2016,+
0.000455604,43.880001,07-11-2016,-
0.003418368,44.029999,10-11-2016,+
0.005450852,44.27,11-11-2016,+
0.005421301,44.029999,12-11-2016,-
0.005450784,43.790001,13-11-2016,-
0.000228408,43.779999,14-11-2016,-
0.001142051,43.73,17-11-2016,-
0.005945621,43.990002,18-11-2016,+
0.00022737,43.98,19-11-2016,-
0.004092769,44.16,20-11-2016,+
0.001358741,44.099998,21-11-2016,-
0.012244921,44.639999,24-11-2016,+
0.001344019,44.580002,25-11-2016,-
0.005607896,44.830002,26-11-2016,+
0.001784475,44.91,28-11-2016,+
0.014250724,44.27,01-12-2016,-
0.018070928,45.07,02-12-2016,+
0.010428245,45.540001,03-12-2016,+
0.008783443,45.939999,04-12-2016,+
0.005659534,45.68,05-12-2016,-
0.012696979,46.259998,08-12-2016,+
0.003242586,46.41,09-12-2016,+
0.013359168,45.790001,10-12-2016,-
0.025769818,46.970001,11-12-2016,+
0.018309559,46.110001,12-12-2016,-
0.007590501,46.459999,15-12-2016,+
0.015497138,45.740002,16-12-2016,-
0.017271468,46.529999,17-12-2016,+
0.028583753,47.860001,18-12-2016,+
0.017342206,48.689999,19-12-2016,+
0.0123229,49.290001,22-12-2016,+
0.003043254,49.139999,23-12-2016,-
0.008139947,48.740002,24-12-2016,-
